GEO_ID,Total,White,Black,NativeAmerican,Asian,HawaiianAPI,Other,Twoplus
6037189907,2434,1736,158,12,162,6,139,221
6037190101,1832,1076,175,13,153,4,184,227
6037190102,2737,1571,198,42,225,10,330,361
6037190201,2872,1379,357,45,133,18,610,330
6037190202,3568,1986,394,28,363,3,330,464
6037190302,2283,1396,177,27,192,7,249,235
6037190303,2470,1394,151,16,256,1,381,271
6037190401,2857,1780,128,21,291,2,308,327
6037190402,2388,1427,91,17,343,8,301,201
6037190510,4362,1699,377,44,790,0,887,565
6037190520,3489,1616,165,42,529,6,743,388
6037190701,1867,939,176,31,199,8,289,225
6037190702,1420,704,65,17,122,1,311,200
6037190801,2500,1045,168,31,236,3,677,340
6037190802,2794,1147,213,42,245,13,760,374
6037190901,4016,903,175,131,128,0,2045,634
6037190902,3608,1277,182,79,239,7,1344,480
6037191000,5893,2827,671,55,626,10,939,765
6037191110,3141,1645,110,37,381,3,691,274
6037191120,3801,1415,165,59,393,4,1245,520
6037191201,4072,2394,118,41,480,9,599,431
6037191203,2531,897,129,40,420,4,758,283
6037191204,1862,774,62,14,302,1,502,207
6037191301,2076,590,102,27,418,1,697,241
6037191302,2192,699,104,47,532,1,582,227
6037191410,3924,873,134,113,527,7,1800,470
6037191420,2837,743,91,45,345,7,1179,427
6037191500,4980,1228,160,91,990,7,2006,498
6037191610,4271,1071,148,116,442,8,1843,643
6037191620,2628,692,94,56,343,6,1071,366
6037191710,2576,703,139,58,244,4,1072,356
6037191720,3534,736,105,98,330,0,1883,382
6037191810,3028,930,165,106,184,13,1244,386
6037191820,3279,1452,215,45,316,1,801,449
6037191901,3563,1943,320,28,344,7,507,414
6037191902,2961,2001,119,10,310,1,181,339
6037192001,2574,1837,136,13,205,0,167,216
6037192002,2550,1956,60,6,153,6,91,278
6037192300,2863,1886,132,7,461,2,84,291
6037192410,3573,1790,158,33,820,3,367,402
6037192420,3645,774,155,64,1252,6,963,431
6037192510,3508,393,76,80,1238,4,1344,373
6037192520,4326,684,108,225,746,2,2031,530
6037192610,4149,872,184,75,582,3,1882,551
6037192620,3260,456,112,71,808,3,1427,383
6037192700,3550,789,194,85,744,8,1296,434
6037194101,3236,2389,121,10,188,5,136,387
6037194102,3462,2691,117,10,231,3,77,333
6037194200,3596,2943,68,6,160,0,84,335
6037194300,2972,2377,90,9,146,0,57,293
6037194401,2559,1793,148,4,196,0,149,269
6037194402,3146,2455,74,8,245,7,102,255
6037194500,2347,1762,67,4,249,2,71,192
6037195100,4974,3239,121,20,725,6,218,645
6037195201,3080,2052,59,11,309,8,215,426
6037195202,3194,2216,81,10,341,0,131,415
6037195300,3070,1808,62,19,373,5,368,435
6037195400,4244,2564,139,36,516,3,403,583
6037195500,4991,2632,127,24,864,5,682,657
6037195600,3056,1229,117,42,344,0,865,459
6037195710,3939,1132,138,69,548,3,1517,532
6037195720,1896,749,50,32,205,1,586,273
6037195802,2744,601,116,74,718,1,897,337
6037195803,2457,1162,101,29,320,4,460,381
6037195804,2459,968,60,46,395,1,605,384
6037195901,2248,1132,63,18,365,10,321,339
6037195902,1848,1129,60,21,216,1,182,239
6037195903,1988,745,60,37,330,3,508,305
6037197200,3287,648,21,52,1146,0,877,543
6037197300,3650,1717,80,66,475,5,790,517
6037197410,3707,2104,75,45,334,12,556,581
6037197420,3376,1362,92,88,361,5,903,565
6037197500,3973,1578,111,75,414,9,1142,644
6037197600,2431,945,69,36,346,3,668,364
6037197700,4565,1081,176,80,1873,3,850,502
